Name	Set	ImageFile	Type	Sub-Type	Cost	Attack	Defense	Speed	Damage	Effect	
Demon Slayer	Arad	Demon Slayer.PNG	Squadron	Arad Deicide	1	20	15	5	10	【R2 Limit Skill】 Apply 1 with target Arad squadron: •Combat Tag Advance. Refresh at the end of Enemy Phase. •Combat Tag Retreat.	
Renegade	Arad	Renegade.PNG	Squadron	Arad Troubleshooter	3	20	25	4	10	【Guardian】 【Action】 Self-inflict Immobile (2). Place 1 "Explosive" marker. 【R2 Skill】 Detonate an ally Explosive Marker. 【Limit Assist】 Self-inflict Attack (-10); gain Sniper (1).	
Saint	Arad	Saint.PNG	Squadron	Arad Crusader	2	20	25	3	10	【Limit Action】 Self-inflict Immobile (2); tag target enemy squadrons or reposition target enemy support squadron. 【R2 Limit Skill】 Apply 1 with target Arad squadron: •Combat Tag Advance and another ally Arad squadron gains Attack (5). Refresh at the end of Enemy Phase. •Combat Tag Retreat.	
Dreadnought	Arad	Dreadnought.PNG	Squadron	Arad Knight	3	20	20	4	11	【Mobility】 【Deploy】 Create 1 "Astra" token. 【R2 Limit Skill】 Apply 1 with target Arad squadron: •Combat Tag Advance. Refresh at the end of Enemy Phase. •Combat Tag Retreat.	
Redeemer	Arad	Redeemer.PNG	Squadron	Arad Mistress	2	20	20	6	9 + 1x	【R2 Limit Action】 Self-inflict Immobile (2); Gain Safeguard (2). 【R2 Limit Skill】 Apply 1 with target Arad squadron: •Combat Tag Advance and gain Reaper (1). Refresh at the end of Enemy Phase. •Combat Tag Retreat.	
Token - Prince Nicholas (Arad) (Necromancer)	Arad	Prince Nicholas.PNG	Token	Arad Ghost	-	20	20	3	9 + 1x	【R2 Limit Action】 During your turn: Reposition target enemy support squadron. Refresh when this card earns a combat kill.  【R2 Limit Skill】 Combat Tag Advance or Combat Tag Defend with an Arad squadron. Refresh at the end of Enemy Phase.	
Grim Reaper	Arad	Grim Reaper.PNG	Squadron	Arad Shadow	1	15	15	7	9	【Sneak Strike】 【R3】 After an active ally Arad squadron initiates combat: Reposition that squadron then create this card attacking in its place. Do not re-declare blockers. 【Ambush】 Combat Tag Advance with an Arad squadron, then initiate combat and gain Unblockable (1).	
Vagabond	Arad	Vagabond.PNG	Squadron	Arad Blade	0	15	15	6	9	【Perfect Strike】 【R2 Limit Skill】 Apply 1 with target Arad squadron: •Combat Tag Advance. Refresh at the end of Enemy Phase. •Combat Tag Retreat.	
Rakshasa	Arad	Rakshasa.PNG	Squadron	Arad Ghostblade	1	15	15	6	10	【R2 Limit Action】 If this card has not attacked this turn: Pay [1] and reposition it; create 1 "Yaksha" token in this card's former zone. 【R2 Action】Self-inflict Attack (-5) and gain Dual Strike (1).  【R2 Limit Skill】 Apply 1 with target Arad squadron: •Combat Tag Advance. Refresh at the end of Enemy Phase. •Combat Tag Retreat.	
Shiranui	Arad	Shiranui.PNG	Squadron	Arad Kunoichi	2	15	20	8	5 + 2x	【Sneak Strike】 【Ambush】 When this card declares an attack: Until the end of Enemy Phase, self-inflict Speed (-4); gain Attack (5). 【R2 Limit Skill】 Apply 1 with target Arad squadron: •Combat Tag Advance. Refresh at the end of Enemy Phase. •Combat Tag Retreat.	
Black Maiden	Arad	Black Maiden.PNG	Squadron	Arad Enchantress	1	15	10	5	6 + 1x	【Limit Assist】 Self-inflict Immobile (2) and inflict Immobile (2) to target ally Arad squadron, then targeted squadron gains Safeguard (2). 【R2 Assist】 Combat Tag Defend with an Arad squadron. 【Death】 Extra Charge.	
Skirmisher	Arad	Skirmisher.PNG	Squadron	Arad Lancer	0	15	10	6	7 + 1x	【Limit Assist】 Tag with target active Arad squadron and self-inflict Immobile (2). Draw 1. 【R2 Limit Skill】 Apply 1 with target Arad squadron: •Combat Tag Advance. Refresh at the end of Enemy Phase. •Combat Tag Retreat.	
Bloodseeker	Arad	Bloodseeker.PNG	Squadron	Arad Vampire	2	15	25	4	7 + 2x	【Passive】 Defense may not exceed 25. 【Action】 Self-inflict permanent Defense (-5); inflict Silence (2) and Attack (-10) to target squadron until the end of Enemy Phase. 【R2 Limit Skill】 Apply 1 with an Arad squadron, then inflict permanent Defense (-5) to that squadron and gain permanent Defense (+5): •Combat Tag Retreat. •Combat Tag Defend and refresh.	
Tempest	Arad	Tempest.PNG	Squadron	Arad Aiolos	2	15	20	8	8 + 1x	【R2 Limit Action】 Self-inflict Immobile (2); Nullify the effects of an ability in the sequence, then if it was on the field: Place it on the bottom of deck. 【R2 Limit Skill】 Apply 1 with target Arad squadron: •Combat Tag Advance. Refresh at the end of Enemy Phase. •Combat Tag Retreat.	
Vanguard	Arad	Vanguard.PNG	Squadron	Arad Warlord	1	15	20	5	9 + 1x	【Action】 Self-inflict Immobile (2) and gain Safeguard (2). 【R2 Limit Skill】 Apply 1 with target Arad squadron: •Combat Tag Advance and gain Guardian (2). Refresh at the end of Enemy Phase. •Combat Tag Retreat.	
Token - Astra (Arad) (Dreadnought)	Arad	Astra.PNG	Token	Arad Dragon	-	15	20	5	8	【Action】 Self-inflict Immobile (2); Choose 1. You may only choose each effect once: •Inflict Bolt (5) and Silence (1) to target squadron. •Inflict Bolt (5) and Stun (1) to target squadron. •Inflict Bolt (5) to up to 2 different target revealed enemy squadrons, or 1 target concealed enemy squadron	
Token - Yaksha (Arad) (Rakshasa)	Arad	Yaksha.PNG	Token	Arad Ghost	-	15	20	4	9	【R2 Skill】 When an active ally "Rakshasa" is targeted by an attack: Tag this card with the targeted squadron and intercept. 【R2 Limit Skill】 Combat Tag Advance with an Arad squadron. Refresh at the end of Enemy Phase.	
Freyja	Arad	Freyja.PNG	Squadron	Arad Spitfire	1	10	20	6	9	【Mobility】 【Active】 This card may declare 2 attacks against unique targets simultaneously, applying its printed attack for damage. 【R2 Limit Skill】 Apply 1 with target Arad squadron: •Combat Tag Advance and tagged squadron gains Mobility (1). Refresh at the end of Enemy Phase. •Combat Tag Retreat.	
Vendetta, Master Splinter's Daughter	Arad	Vendetta.PNG	Squadron	Arad Slayer	0	10	10	6	9	【Instant Strike】 【R2 Action】『Daredevil』 Self-inflict Immobile (2) and pay [1-2], then gain Attack (+10) for each soul paid. 【R2 Limit Skill】 Apply 1 with target Arad squadron: •Combat Tag Advance. Refresh at the end of Enemy Phase. •Combat Tag Retreat.	
Evangelist	Arad	Evangelist.PNG	Squadron	Arad Seraph	1	10	20	4	5 + 2x	【Limit Assist】 Cleanse target Arad squadron with a status condition, then that squadron gains Safeguard (2). 【R2 Assist】 Combat Tag Defend with an Arad squadron.	
Jack Twist	Arad	Desperado.PNG	Squadron	Arad Ranger	1	10	10	5	6 + 1x	【Sniper】 【Assist】 Attack Spend; Target squadron takes 5 extra damage from combat this turn. 【R2 Limit Action】 Combat Tag Retreat with an Arad squadron.	
Striker	Arad	Striker.PNG	Squadron	Arad Fighter	1	10	10	6	7 + 1x	【Passive】 This card may declare a second attack against a squadron each turn. 【R2 Action】 Pay [1]; this card may attack an additional time against a squadron this turn. 【R2 Skill】 Combat Tag Advance with an Arad squadron.	
Necromancer	Arad	Necromancer.PNG	Squadron	Arad Defiler	1	10	20	7	7 + 3x	【Entry】 Discard 1; recover target Arad squadron. 【Limit Skill】 Pay [1]; Create 1 "Prince Nicholas" token. Refresh when this card earns a combat kill. 【R2 Limit Skill】 Apply 1 with target Arad squadron: •Combat Tag Advance. Refresh at the end of Enemy Phase. •Combat Tag Retreat.	
Alcyone	Arad	Alcyone.PNG	Squadron	Arad Rogue	1	10	15	8	8 + 1x	【R2 Skill】 Choose 1, but you can only choose each effect once: •When this card inflicts life damage: Draw 1. •When this card inflicts combat damage: Draw 1. 【R2 Limit Skill】 Outside of Combat Phase: Tag with target Arad squadron. Refresh at the end of Enemy Phase.	
Inferno	Arad	Inferno.PNG	Squadron	Arad Inquisitor	1	10	20	6	8 + 2x	【Reaper】  【Action】 Self-inflict Immobile (2) and inflict Silence (2) to target squadron. 【R2 Limit Skill】 Apply 1 with target Arad squadron: •Combat Tag Advance. Refresh at the end of Enemy Phase. •Combat Tag Retreat.	
Hell Bringer	Arad	Hell Bringer.PNG	Eternal Ability	Arad Berserker	0	5	10	5	5 + 2x	【Passive】 Gains Attack (+5) times your souls (Max: +15). 【Limit Action】 Attack Spend and Extra Charge. 【R2 Assist】 Combat Tag Advance with an Arad squadron and gain Reaper (1).	
Devil Trigger	Devil Hunters	Devil Trigger.PNG	Ability	Devil's Awakening	0	-	-	R1	-	【Limit】 Choose 1: •Ascend target ally Devil Hunter squadron Revert at the end of Enemy Phase. •Deploy target Devil Hunter squadron from ally graveyard, then you may Ascend it. Revert at the end of the turn.	
Nightmare's End	Devil Hunters	Nightmare's End.PNG	Ability	Devil's Rest	0	-	-	R1	-	【Limit】 Discard 1-2 cards from hand, including 1 Devil card, then draw the same number +1	
Qliphoth Fruit	Devil Hunters	Qliphoth Fruit.PNG	Ability	Demonic Fruit	0	-	-	R1	-	Discard 1 Devil card; draw 2, then you may Combat Charge.  You cannot draw from abilities for the rest of the turn.	
Rebellion	Devil Hunters	Rebellion.PNG	Ability	Devil's Feud	0	-	-	R2	-	【Limit】 When an ally Devil squadron is targeted by an attack: Recall it, then deploy 1 Devil squadron with a different name into its zone.	
Rend Humanity	Devil Hunters	Rend Humanity.PNG	Ability	Devil's Bargain	0	-	-	R1	-	【Limit】 Sacrifice 1 Devil squadron to transform it into a Devil squadron from deck with a different name and equal to or [+/-1] its paid cost.	
Flash Deflect	Devil Hunters	Flash Deflect.PNG	Ability	Devil's Technique	1	-	-	R3	-	【Limit】  When an effect is activated that either is in response to an attack from or targets a Devil squadron: Nullify that effect in the sequence. Enemy Charges equal to the paid cost of the nullified card or effect.	
Qliphoth Roots	Devil Hunters	Qliphoth Roots.PNG	Eternal Ability	Demonic Tree	0	-	-	-	-	【Post-Charge】 Delete 1 Devil squadron from ally graveyard and Recon 2. You may then discard 1 Devil squadron and draw 1. 【Limit】 Spend your Extra Charge and sacrifice 1 ally Devil squadron, then Charge equal to its soul cost.	
Ascend - Dante (Devil Hunters)	Devil Hunters	Devil Dante.PNG	Token	Devil Hunter	4	25	25	4	13	【Ascended from "Dante"】 【Action】 Transient activate the 『Devil Arm』 effect of target Devil squadron in ally graveyard targeting this card. 	
Ascend - Nero (Devil Hunters)	Devil Hunters	Devil Nero.PNG	Token	Devil Hunter	3	25	20	5	13	【Ascended from "Nero"】 【Active】 If this card can be attacked: Enemy squadrons can only target this card for attacks. 【Action】 Tag target enemy squadrons.	
Ascend - Trish (Devil Hunters)	Devil Hunters	Devil Trish.PNG	Token	Devil Hunter	3	25	20	6	13	【Ascended from "Trish"】 【Reaper】 【Unblockable】	
Echidna	Devil Hunters	Echidna.PNG	Squadron	Devil Viper	2	20	20	5	6 + 2x	【Hand】『Devil Arm: Gilgamesh』 Augment target ally Devil Hunter squadron with this card: "〖Reaper〗 〖R2 Limit Action〗 When this card earns a combat kill: Draw 1, then discard 1." 【Active】 Destroy any ally non-Devil squadron. 【R2 Limit Action】 Self-inflict Vanish (1).	
Trish	Devil Hunters	Trish.PNG	Squadron	Devil Hunter	2	20	20	6	7 + 2x	【Hand】 Sacrifice 1 ally cost [1+] Devil squadron and Extra Charge; deploy this card. 【Limit Action】 Delete 1 Devil squadron from ally graveyard; inflict Stun (2) to target enemy squadron.	
Goliath	Devil Hunters	Goliath.PNG	Squadron	Devil Behemoth	2	20	25	3	9 + 1x	【Active】 Destroy any ally non-Devil squadron. 【Action】 Tag or reposition target enemy squadron(s). 【Grave】 If there is an ally Devil Hunter squadron: Delete this card; Inflict Bolt (5) to target enemy squadron.	
Jester	Devil Hunters	Jester.PNG	Squadron	Devil Trickster	0	15	15	5	7	【Active】 Destroy any ally non-Devil squadron. 【Deploy】 Pay [1]; Search 1 Devil Hunter squadron.	
Dante	Devil Hunters	Dante.PNG	Squadron	Devil Hunter	3	15	20	5	13	【Hand】 Sacrifice 1 ally cost [1+] Devil squadron and Extra Charge; deploy this card. 【R2  Limit Skill】 Delete 1 Devil squadron from ally graveyard; becomes 1 of the following. Refresh at the end of Enemy Phase: •『Swordmaster』 "【Dual Strike】 (10/20/5/12)"  •『Trickster』 "【Mobility】 (15/20/8/8 + 2x)"  •『Royal Guard』 "【Guardian】 (15/25/5/10)"  •『Gunslinger』 "【Sniper】 (10/20/5/8)"	
Scarecrow	Devil Hunters	Scarecrow.PNG	Squadron	Devil Remnant	0	15	15	5	5 + 1x	【Nameless】 【Lifeless】 【Active】 Destroy any ally non-Devil squadron. 【Forced Death】 Lose 5 life; scry 3, then you may send 1 Devil squadron from among them to the graveyard.	
Nero	Devil Hunters	Nero.PNG	Squadron	Devil Hunter	2	15	20	5	5 + 2x	【Hand】 Sacrifice 1 ally cost [1+] Devil squadron and Extra Charge; deploy this card. 【Passive】 When initiating combat: Gains 1 Exceed (Max: 3). Gains the following based on its Exceed: •1+: Attack (+5). •2+: Unblockable •3: Attack (+5) and inflict double chip damage. 【Skill】 Pay [1] and delete 1 Devil squadron from ally graveyard; gains 3 Exceed.	
Hell Caina	Devil Hunters	Hell Caina.PNG	Squadron	Devil Reaper	1	15	15	5	6 + 1x 	【Lifeless】 【Active】 Destroy any ally non-Devil squadron. 【Death】 Lose 6 life; draw 1, then you may Extra Charge.	
Bael	Devil Hunters	Bael.PNG	Squadron	Devil Mist	1	15	20	3	6 + 2x	【Hand】『Devil Arm: Pandora』 Augment target ally Devil Hunter squadron with this card: "〖Action〗 Choose 1 to inflict to target enemy squadron. You can only choose each effect once:  •Stun (1) •Suppress (1) •Silence (1)." 【Active】 Destroy any ally non-Devil squadron. If this card can be attacked: Enemy squadrons can only target this card for attacks.	
Proto Angelo	Devil Hunters	Proto Angelo.PNG	Squadron	Devil Corruption	1	15	15	7	6 + 2x	【Active】 Destroy any ally non-Devil squadron. 【Death】 Recover 1 Devil Hunter squadron.  『What evil lurks, I must destroy...』	
Hunter Lucia	Devil Hunters	Hunter Lucia.PNG	Squadron	Devil Hunter	1	15	10	7	7 + 1x	【Instant Strike】 【Death】 Mill 3, then recover 1 Devil squadron from among them.	
Berial	Devil Hunters	Berial.PNG	Squadron	Devil Inferno	1	15	25	3	7 + 2x	【Hand】『Devil Arm: Lucifer』 Augment target ally Devil Hunter squadron with this card: "〖Action〗 Inflict Bolt (5) to target enemy squadron." 【Active】 Destroy any ally non-Devil squadron. 【Death】 Destroy target ability	
Nevan	Devil Hunters	Nevan.PNG	Squadron	Devil Witch	2	15	25	5	7 + 2x	【Hand】『Devil Arm: Nevan』 Augment target ally Devil Hunter squadron with this card: "〖Action〗 Inflict Nullify (1) to target squadron." 【Active】 Destroy any ally non-Devil squadron. 【Limit Action】 Inflict Suppress (2) to target enemy squadron.	
Vergil	Devil Hunters	Vergil.PNG	Squadron	Devil Hunter	3	15	20	9	7 + 2x	【Mobility】 【Hand】 Sacrifice 1 ally cost [1+] Devil squadron and Extra Charge; deploy this card. 【R2 Limit Skill】 Outside of Combat Phase: Delete 1 Devil squadron from ally graveyard; tag or reposition this card.	
Geryon Knight	Devil Hunters	Geryon Knight.PNG	Squadron	Devil Horseman	1	15	20	5	8 + 1x	【Mobility】 【Hand】『Devil Arm: Cavaliere』 Augment target ally Devil Hunter squadron with this card: "〖Mobility〗 〖R2 Action〗 When this card inflicts combat damage: Recon 3." 【Active】 Destroy any ally non-Devil squadron.	
Ascend - Vergil (Devil Hunters)	Devil Hunters	Devil Vergil.PNG	Token	Devil Hunter	4	15	20	9	13	【Ascended from "Vergil"】 【Instant Strike】  【Mobility】 【Action】 Delete 1 Devil squadron from ally graveyard; inflict Bolt (10) to target enemy squadron.	
Ascend - Credo (Devil Hunters)	Devil Hunters	Credo Angelo.PNG	Token	Devil Hunter	2	15	25	5	7 + 2x	【Ascended from "Credo"】 【Reaper】 【Guardian】	
Ascend - Lucia (Devil Hunters)	Devil Hunters	Devil Lucia.PNG	Token	Devil Hunter	2	15	20	8	8 + 2x	【Ascended from "Lucia"】 【Mobility】 【Reaper】 【R2 Action】 When this card earns a combat kill: Recon 3, then draw 1.	
Token - Nightmare (Devil Hunters) (V)	Devil Hunters	Nightmare.PNG	Token	Devil Familiar		15	30	3	10 + 1x	【Limit Action】 Delete 1 Devil squadron from ally graveyard; destroy target ability.	
Token - Shadow (Devil Hunters) (V)	Devil Hunters	Shadow.PNG	Token	Devil Familiar	-	15	10	6	7 + 1x	【Ability Instant】	
Lady	Devil Hunters	Lady.PNG	Squadron	Devil Hunter	1	10	10	6	5 + 1x	【Sniper】 【Limit Assist】 Sacrifice 1 ally soul cost [1+] Devil squadron; draw 1 and Extra Charge.	
Beowulf	Devil Hunters	Beowulf.PNG	Squadron	Devil Rampage	0	10	10	5	5 + 2x	【Hand】『Devil Arm: Beowulf』 Augment target ally Devil Hunter squadron with this card:  "〖Unblockable〗 〖Perfect Strike〗" 【Active】 Destroy any ally non-Devil squadron. Gains Attack (+5) times your souls (Max: +10).	
Mephistopheles	Devil Hunters	Mephistopheles.PNG	Squadron	Devil Phantom	1	10	20	5	6 + 2x	【Unblockable】 【Grave】『Devil Arm: Dr. Faust』 Augment target ally Devil Hunter squadron with this card: "〖Action〗 Pay life in multiples of 5, then inflict Bolt to target squadron equal to the life paid."	
Blitz	Devil Hunters	Blitz.PNG	Squadron	Devil Lightning	1	10	15	9	7 + 1x	【Active】 Destroy any ally non-Devil squadron. 【Limit Skill】 Tag or Reposition this card. 【Death】  Lose 5 life and Inflict Bolt (5) to target enemy squadron.	
Artemis	Devil Hunters	Artemis.PNG	Squadron	Devil Siren	1	10	20	7	7 + 2x	【Active】 Destroy any ally non-Devil squadron. 【Death】 Delete this card; draw 2, then if this card died by combat: Discard 1.	
Death Scissors	Devil Hunters	Death Scissors.PNG	Squadron	Devil Cutter	1	10	15	6	8 + 2	【Armor (5)】 【Active】 Destroy any ally non-Devil squadron. 【R2 Limit Action】 Self-inflict Vanish (1). 【Death】 Draw 1.	
Credo	Devil Hunters	Credo.PNG	Squadron	Devil Hunter	1	10	20	6	8 + 2x	【Perfect Strike】 【Guardian】 【Action】 Delete 3 Devil squadrons from ally graveyard; Ascend. 【Assist】 Combat Tag Defend with a Devil squadron.	
Ascend - V (Devil Hunters)	Devil Hunters	Devil V.PNG	Token	Devil Hunter	2	10	15	5	7 + 2x	【Ascended from "V"】 【Limit Assist】 Delete 1 Devil squadron from ally graveyard; create 1 "Griffon", "Shadow", and "Nightmare" token. 【R2 Skill】 Tag with "Shadow" or "Griffon".  『"He who desires but acts not, breeds pestilence." So it is written.』	
Token - Griffon (Devil Hunters) (V)	Devil Hunters	Griffon.PNG	Token	Devil Familiar	-	10	15	5	9 + 1x	【Perfect Strike】 【Mobility】	
V	Devil Hunters	V.PNG	Squadron	Devil Hunter	1	5	10	5	6	【R2 Limit Assist】 Discard 1 Devil squadron; create 1 "Shadow", or "Griffon" token. Refresh at the end of Enemy Phase. 【R2 Skill】 Tag with "Shadow" or "Griffon".  『The Angel that presided o'er my birth said, “Little creature, form'd of Joy & Mirth, Go love without the help of any Thing on Earth.”』	
Nico	Devil Hunters	Nico.PNG	Squadron	Devil Gunsmith	0	0	5	3	0	【Assist】 Apply the Death or 『Devil Arm』 effect of target Devil squadron in ally graveyard, then if it is still in graveyard: Delete it. Otherwise: It becomes Transient.	
Fire Emblem	Emblem	Fire Emblem.PNG	Ability	Strategic Relic	1	-	-	R1	-	【Limit】 If there is an ally Emblem squadron: Draw 2. You may activate this card for [0] by discarding 1 Emblem squadron or Skill augment, but you cannot draw from abilities for the rest of the turn.	
Occult Scroll	Emblem	Occult Scroll.PNG	Ability	Strategic Techniques	0	-	-	R1	-	【Limit】 Return 1-3 Skill augments and/or Emblem squadrons from hand, graveyard, and/or ability zone to deck, then draw 1. For each augment returned from hand or ability zone, draw 1. If you returned a squadron from hand, draw 1.	
Uprising	Emblem	Uprising.PNG	Ability	Strategic Reinforcements	0	-	-	R1	-	【Limit】 Choose 1: •Combat Charge and draw 1, then deploy 1 Emblem squadron. •Extra Charge, then deploy 1 Emblem squadron.	
Adept	Emblem	Adept.PNG	Augment	Skill Scroll	0	-	-	-	-	Augment target Emblem squadron:  "〖Dual Strike〗 〖Passive〗 Additional combat damage dealt by this card from Dual Strike inflicts a maximum of 10 damage."	
Cancel	Emblem	Cancel.PNG	Augment	Skill Scroll	0	-	-	-	-	Choose 1 to Augment target Emblem squadron: •Pay [0]: "〖Perfect Strike〗"  •Pay [1]: "〖Instant Strike〗"	
Guard	Emblem	Guard.PNG	Augment	Skill Scroll	0	-	-	-	-	Augment target Emblem squadron:  "〖R2 Assist〗 Combat Tag Defend with an Emblem squadron. The opponent may only redeclare against an active squadron."	
Miracle	Emblem	Miracle.PNG	Augment	Skill Scroll	0	-	-	-	-	Augment target Emblem squadron:  "〖R2 Limit Action〗 The first time this card would take combat damage, pay [1]; nullify all damage from the rest of that battle. Remove any augment from this card."	
Nihil	Emblem	Nihil.PNG	Augment	Skill Scroll	0	-	-	-	-	Choose 1 to Augment target Emblem squadron: •"〖Squadron Safeguard〗"  •"〖Ability Safeguard〗"	
Paragon	Emblem	Paragon.PNG	Augment	Skill Scroll	0	-	-	-	-	Choose 1 to Augment target Emblem squadron: •"〖Reaper〗"  •"〖R2 Limit Skill〗 When this card earns a combat kill: Draw 2, discard 1, then sacrifice this card's augment."	
Provoke	Emblem	Provoke.PNG	Augment	Skill Scroll	0	-	-	-	-	Augment target Emblem squadron:  "〖Passive〗 If this card can be attacked: Enemy squadrons cannot target other ally Emblem squadrons for attacks."	
Wrath	Emblem	Wrath.PNG	Augment	Skill Scroll	0	-	-	-	-	Augment target Emblem squadron:  "〖R2 Action〗 Choose 1, you can only choose each once: •When this card declares an attack: Scry 3. •When this card inflicts combat damage: Draw 1."	
Ike Alt 1	Emblem	Ike Alt 1.PNG	Squadron	-	-	-	-	-	-	-	
Ike Alt 2	Emblem	Ike Alt 2.PNG	Squadron	-	-	-	-	-	-	-	
Lucia Alt 1	Emblem	Lucia Alt 1.PNG	Squadron	-	-	-	-	-	-	-	
Lucia Alt 2	Emblem	Lucia Alt 2.PNG	Squadron	-	-	-	-	-	-	-	
Nephenee Alt 1	Emblem	Nephenee Alt 1.PNG	Squadron	-	-	-	-	-	-	-	
Queen Elincia Alt 1	Emblem	Queen Elincia Alt 1.PNG	Squadron	-	-	-	-	-	-	-	
Queen Elincia Alt 2	Emblem	Queen Elincia Alt 2.PNG	Squadron	-	-	-	-	-	-	-	
Soren Alt 1	Emblem	Soren Alt 1.PNG	Squadron	-	-	-	-	-	-	-	
Tanith Alt 1	Emblem	Tanith Alt 1.PNG	Squadron	-	-	-	-	-	-	-	
Titania Alt 1	Emblem	Titania Alt 1.PNG	Squadron	-	-	-	-	-	-	-	
Titania Alt 2	Emblem	Titania Alt 2.PNG	Squadron	-	-	-	-	-	-	-	
Zelgius, Commander of this Army	Emblem	Zelgius.PNG	Squadron	Emblem Commander	3	30	25	4	13	【Instant Strike】 【Armor (5)】  『"Interesting maneuver."』	
Black Knight	Emblem	Black Knight.PNG	Squadron	Emblem Rider	3	30	25	4	14	【Hand】 Pay [2]; create this card with 15/20/4/10. 【Deploy】 Gains Safeguard and Squadron Instant. 【Active】 Gains Defense (5).  『"You are not worthy of being my foe. Flee while you are able."』 	
Ike	Emblem	Ike.PNG	Squadron	Emblem Lord	3	30	25	4	14	【Unblockable】 【Deploy】 Attach 1 Skill augment from deck to this card. 【Active】 Gains Defense (5).  『"Make your peace with whatever the gods worship, your end is near."』	
Haar	Emblem	Haar.PNG	Squadron	Emblem Dragonlord	2	20	25	4	12	【Unblockable】	
Jill	Emblem	Jill.PNG	Squadron	Emblem Wyvern	0	15	15	3	7	【Hand】 Deploy this card for [1-3], up to the number of Emblem squadrons in ally graveyard: Gains permanent Attack (+5), Defense (+5), and Damage (+1) for each soul paid.	
Sigrun	Emblem	Sigrun.PNG	Squadron	Emblem Seraph	1	15	15	7	8	【Ability Safeguard】 【Mobility】 【R2 Limit Assist】 Combat Tag Advance with an Emblem squadron.	
Tanith	Emblem	Tanith.PNG	Squadron	Emblem Falcon	1	15	15	6	8	【Deploy】 Search 1 soul cost [1] or less Emblem squadron.	
Zihark	Emblem	Zihark.PNG	Squadron	Emblem Myrmidon	0	15	15	5	8	【Perfect Strike】 【Squadron Instant】	
Lucia	Emblem	Lucia.PNG	Squadron	Emblem Swordmaster	1	15	10	7	9	【Instant Strike】 【Passive】 Nullify all stat bonuses on any squadron that battles with this card until the end of the turn.	
Mia	Emblem	Mia.PNG	Squadron	Emblem Trueblade	1	15	15	7	9	【R2 Action】 When this card inflicts combat damage to a squadron: Scry 1. If it is an Emblem squadron, you may reveal it: This attack inflicts 5 additional damage. Once, you may then draw 1.	
Nephenee	Emblem	Nephenee.PNG	Squadron	Emblem Halberdier	1	15	20	4	9	【R2 Assist】 Combat Tag Defend with an active Emblem squadron. The opponent may only redeclare against an active squadron.	
Tauroneo	Emblem	Tauroneo.PNG	Squadron	Emblem Marshall	2	15	25	4	9	【Guardian】 【R2 Action】 When damage is inflicted to this card: Gain Attack (5) and Speed (1).	
Titania	Emblem	Titania.PNG	Squadron	Emblem Paladin	1	15	20	5	9	【Assist】 Tag this card with target ally Emblem squadron.	
Boyd	Emblem	Boyd.PNG	Squadron	Emblem Warrior	1	15	20	5	10	【Active】 During Ally Phase: Gains Speed (2) and self-inflicts Defense (-5). During Enemy Phase: Gains Defense (5) and self-inflicts Speed (-2).	
Micaiah	Emblem	Micaiah.PNG	Squadron	Emblem Priestess	1	15	10	5	5 + 3x	【Unblockable】 【Passive】 Ignores armor and nullifies all armor on any squadron this card inflicts combat damage to. 【Limit Action】 Attack Spend; inflict Stun (2) to target enemy squadron.	
